,Features,Score
2,cases_recovered,1.0
3,rtk-ag,1.0
4,pcr,1.0
16,state_Terengganu,1.0
14,state_Sarawak,1.0
8,state_Melaka,1.0
1,cases_new,1.0
9,state_Negeri Sembilan,0.92
0,cases_import,0.85
11,state_Perlis,0.77
13,state_Sabah,0.69
19,state_W.P. Putrajaya,0.62
7,state_Kelantan,0.62
18,state_W.P. Labuan,0.46
10,state_Perak,0.38
12,state_Pulau Pinang,0.31
6,state_Kedah,0.23
5,state_Johor,0.15
17,state_W.P. Kuala Lumpur,0.08
15,state_Selangor,0.0
