,Features,Score
0,cases_import,1.0
2,cases_recovered,1.0
3,rtk-ag,1.0
4,pcr,1.0
17,state_W.P. Kuala Lumpur,1.0
1,cases_new,1.0
14,state_Sarawak,0.93
13,state_Sabah,0.86
15,state_Selangor,0.86
12,state_Pulau Pinang,0.71
9,state_Pahang,0.64
5,state_Kedah,0.57
8,state_Negeri Sembilan,0.5
10,state_Perak,0.43
7,state_Melaka,0.36
6,state_Kelantan,0.29
18,state_W.P. Labuan,0.21
19,state_W.P. Putrajaya,0.14
16,state_Terengganu,0.07
11,state_Perlis,0.0
