,Features,Score
0,cases_import,1.0
1,cases_new,1.0
2,cases_recovered,1.0
3,rtk-ag,1.0
4,pcr,1.0
12,state_Pulau Pinang,0.93
10,state_Perak,0.93
6,state_Kelantan,0.86
13,state_Sabah,0.79
8,state_Negeri Sembilan,0.71
9,state_Pahang,0.71
7,state_Melaka,0.57
5,state_Johor,0.5
17,state_W.P. Kuala Lumpur,0.5
16,state_Terengganu,0.36
15,state_Selangor,0.29
14,state_Sarawak,0.21
11,state_Perlis,0.14
18,state_W.P. Labuan,0.14
19,state_W.P. Putrajaya,0.0
