,Features,Score
0,cases_import,1.0
12,state_Perlis,1.0
2,cases_recovered,1.0
3,rtk-ag,1.0
4,pcr,1.0
5,state_Johor,1.0
17,state_W.P. Kuala Lumpur,1.0
15,state_Sarawak,1.0
14,state_Sabah,1.0
9,state_Negeri Sembilan,1.0
1,cases_new,1.0
13,state_Pulau Pinang,1.0
10,state_Pahang,0.88
8,state_Melaka,0.75
16,state_Terengganu,0.62
6,state_Kedah,0.5
18,state_W.P. Labuan,0.38
19,state_W.P. Putrajaya,0.25
11,state_Perak,0.12
7,state_Kelantan,0.0
